gene_short_na,NLR clade
Solyc10g055140,RPW-8-3
Solyc10g055170,RPW-8-3
Solyc12g044180,RPW-8-3
Solyc12g044190,RPW-8-3
Solyc12g044200,RPW-8-3
Bs4,TNL
Cc00_g00850,TNL
Cc00_g15130,TNL
Cc00_g19200,TNL
Cc00_g23220,TNL
Cc00_g30890,TNL
Cc00_g35470,TNL
Cc01_g03240,TNL
Cc03_g08530,TNL
Cc03_g08540,TNL
Cc03_g08560,TNL
Cc08_g06820,TNL
Cc08_g06840,TNL
Cc08_g06850,TNL
Cc11_g00700,TNL
Cc11_g13870,TNL
Cc11_g13880,TNL
CHS3,TNL
CSA1,TNL
L6,TNL
N,TNL
Roq1,TNL
RPP1,TNL
RPP4,TNL
RPS4,TNL
RRS1,TNL
SIKIC1,TNL
SIKIC2,TNL
SIKIC3,TNL
SNC1,TNL
SOC3,TNL
Solyc00g294230,TNL
Solyc01g008800,TNL
Solyc01g014840,TNL
Solyc01g066020,TNL
Solyc01g102840,TNL
Solyc01g102850,TNL
Solyc01g102880,TNL
Solyc01g102920,TNL
Solyc01g113620,TNL
Solyc02g032650,TNL
Solyc02g082050,TNL
Solyc04g007320,TNL
Solyc04g056570,TNL
Solyc05g006620,TNL
Solyc05g006630,TNL
Solyc05g007850,TNL
Solyc05g024370,TNL
Solyc07g052770,TNL
Solyc07g052800,TNL
Solyc07g055380,TNL
Solyc07g055610,TNL
Solyc08g005510,TNL
Solyc09g007710,TNL
Solyc09g092410,TNL
Solyc11g011060,TNL
Solyc11g011080,TNL
Solyc11g011350,TNL
Solyc11g013750,TNL
WRR4,TNL
