,,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-10,CNL-10,CNL-10,CNL-10,CNL-10,CNL-10,CNL-10,CNL-10,CNL-10,CNL-10,CNL-10,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-12,CNL-12,CNL-12,CNL-13,CNL-13,CNL-13,CNL-13,CNL-13,CNL-13,CNL-16,CNL-16,CNL-16,CNL-16,CNL-2,CNL-2,CNL-3,CNL-3,CNL-3,CNL-3,CNL-3,CNL-3,CNL-3,CNL-3,CNL-3,CNL-4,CNL-4,CNL-4,CNL-4,CNL-4,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-6,CNL-6,CNL-6,CNL-6,CNL-8,CNL-8,CNL-8,CNL-8,CNL-8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL13,CNL9,CNL9,CNL9,CNL9,CNL9,CNL9,CNL9,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,NRC0,NRC1,NRC2,NRC3,NRC4a,NRC4b,NRC4c,NRC5,NRC6,NRC7,NRCn,NRCs-others,NRCs-others,NRCs-others,NRCs-others,NRCs-others,NRCs-others,NRCs-others,NRCs-others,NRCs-others,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL
CNL-10,Solyc09g098210,,,,,,,,,,,,,,,,,,,,,,,,,,,0,41285,77360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648649,58949860,669244,661056,679046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16176482,72348349,10315313,11288108,,16169455,10304942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71311584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580465,,
CNL-10,Solyc09g098130,,,,,,,,,,,,,,,,,,,,,,,,,,,41285,0,36075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607364,58908575,627959,619771,637761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16135197,72307064,10274028,11246823,,16128170,10263657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71270299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539180,,
CNL-10,Solyc09g098100,,,,,,,,,,,,,,,,,,,,,,,,,,,77360,36075,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571289,58872500,591884,583696,601686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16099122,72270989,10237953,11210748,,16092095,10227582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71234224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503105,,
CNL-11,Solyc05g012910,,51129776,51433777,53995043,55416337,58787324,58794542,49690671,58801027,,,,,,,59074615,3071152,,,,,,,2092105,2087847,2084584,,,,0,6453,5777099,123111,128934,3889776,3894360,3903388,4068457,4259989,,336732,299951,5920139,,,,,,,,,,,,,13422198,,,,,,,,,3538933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49693526,20438200,16811539,3086804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2216924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25330965,,,3747905,4758348,4775716,,,,,
CNL-11,Solyc05g012900,,51136229,51440230,54001496,55422790,58793777,58800995,49697124,58807480,,,,,,,59081068,3064699,,,,,,,2085652,2081394,2078131,,,,6453,0,5770646,116658,122481,3883323,3887907,3896935,4062004,4253536,,343185,306404,5913686,,,,,,,,,,,,,13428651,,,,,,,,,3532480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49699979,20444653,16817992,3080351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2210471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25337418,,,3741452,4751895,4769263,,,,,
CNL-11,Solyc05g005330,,56906875,57210876,59772142,61193436,64564423,64571641,55467770,64578126,,,,,,,64851714,2705947,,,,,,,3684994,3689252,3692515,,,,5777099,5770646,0,5653988,5648165,1887323,1882739,1873711,1708642,1517110,,6113831,6077050,143040,,,,,,,,,,,,,19199297,,,,,,,,,2238166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55470625,26215299,22588638,2690295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3560175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31108064,,,2029194,1018751,1001383,,,,,
CNL-11,Solyc05g012750,,51252887,51556888,54118154,55539448,58910435,58917653,49813782,58924138,,,,,,,59197726,2948041,,,,,,,1968994,1964736,1961473,,,,123111,116658,5653988,0,5823,3766665,3771249,3780277,3945346,4136878,,459843,423062,5797028,,,,,,,,,,,,,13545309,,,,,,,,,3415822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49816637,20561311,16934650,2963693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2093813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25454076,,,3624794,4635237,4652605,,,,,
CNL-11,Solyc05g012740,,51258710,51562711,54123977,55545271,58916258,58923476,49819605,58929961,,,,,,,59203549,2942218,,,,,,,1963171,1958913,1955650,,,,128934,122481,5648165,5823,0,3760842,3765426,3774454,3939523,4131055,,465666,428885,5791205,,,,,,,,,,,,,13551132,,,,,,,,,3409999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49822460,20567134,16940473,2957870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2087990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25459899,,,3618971,4629414,4646782,,,,,
CNL-11,Solyc05g007640,,55019552,55323553,57884819,59306113,62677100,62684318,53580447,62690803,,,,,,,62964391,818624,,,,,,,1797671,1801929,1805192,,,,3889776,3883323,1887323,3766665,3760842,0,4584,13612,178681,370213,,4226508,4189727,2030363,,,,,,,,,,,,,17311974,,,,,,,,,350843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53583302,24327976,20701315,802972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29220741,,,141871,868572,885940,,,,,
CNL-11,Solyc05g007630,,55024136,55328137,57889403,59310697,62681684,62688902,53585031,62695387,,,,,,,62968975,823208,,,,,,,1802255,1806513,1809776,,,,3894360,3887907,1882739,3771249,3765426,4584,0,9028,174097,365629,,4231092,4194311,2025779,,,,,,,,,,,,,17316558,,,,,,,,,355427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53587886,24332560,20705899,807556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29225325,,,146455,863988,881356,,,,,
CNL-11,Solyc05g007610,,55033164,55337165,57898431,59319725,62690712,62697930,53594059,62704415,,,,,,,62978003,832236,,,,,,,1811283,1815541,1818804,,,,3903388,3896935,1873711,3780277,3774454,13612,9028,0,165069,356601,,4240120,4203339,2016751,,,,,,,,,,,,,17325586,,,,,,,,,364455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53596914,24341588,20714927,816584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1686464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29234353,,,155483,854960,872328,,,,,
CNL-11,Solyc05g007350,,55198233,55502234,58063500,59484794,62855781,62862999,53759128,62869484,,,,,,,63143072,997305,,,,,,,1976352,1980610,1983873,,,,4068457,4062004,1708642,3945346,3939523,178681,174097,165069,0,191532,,4405189,4368408,1851682,,,,,,,,,,,,,17490655,,,,,,,,,529524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53761983,24506657,20879996,981653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1851533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29399422,,,320552,689891,707259,,,,,
CNL-11,Solyc05g007170,,55389765,55693766,58255032,59676326,63047313,63054531,53950660,63061016,,,,,,,63334604,1188837,,,,,,,2167884,2172142,2175405,,,,4259989,4253536,1517110,4136878,4131055,370213,365629,356601,191532,0,,4596721,4559940,1660150,,,,,,,,,,,,,17682187,,,,,,,,,721056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53953515,24698189,21071528,1173185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2043065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29590954,,,512084,498359,515727,,,,,
CNL-11,Solyc04g007490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,3182803,3179204,3159204,,,,,,,,,,,,,,,,,,,,,,,,17663745,19643806,,1495535,1553482,1481930,1881480,1869007,1575967,1553496,1486851,1477096,1559902,,,,,,,,,,,,,,,,,,804889,,,,,,,,797885,,,,,,,,,,11158112,11152347,,,,,,,,358992,693328,689333,679518,651131,651134,635093,701332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62853853,53722545,48910216,3189212,1472858,1470952,,,,,,,,,,,,,,,,,,,,,,,,,369263,386490,417730,396251,669214,4229388,,,,,4246805,,,,,,,,,,,,,,,,,20553053,4767297,,,,,,,,,125000,,,,,,,,53316160,,,
CNL-11,Solyc05g013280,,50793044,51097045,53658311,55079605,58450592,58457810,49353939,58464295,,,,,,,58737883,3407884,,,,,,,2428837,2424579,2421316,,,,336732,343185,6113831,459843,465666,4226508,4231092,4240120,4405189,4596721,,0,36781,6256871,,,,,,,,,,,,,13085466,,,,,,,,,3875665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49356794,20101468,16474807,3423536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2553656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24994233,,,4084637,5095080,5112448,,,,,
CNL-11,Solyc05g013260,,50829825,51133826,53695092,55116386,58487373,58494591,49390720,58501076,,,,,,,58774664,3371103,,,,,,,2392056,2387798,2384535,,,,299951,306404,6077050,423062,428885,4189727,4194311,4203339,4368408,4559940,,36781,0,6220090,,,,,,,,,,,,,13122247,,,,,,,,,3838884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49393575,20138249,16511588,3386755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2516875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25031014,,,4047856,5058299,5075667,,,,,
CNL-11,Solyc05g005130,,57049915,57353916,59915182,61336476,64707463,64714681,55610810,64721166,,,,,,,64994754,2848987,,,,,,,3828034,3832292,3835555,,,,5920139,5913686,143040,5797028,5791205,2030363,2025779,2016751,1851682,1660150,,6256871,6220090,0,,,,,,,,,,,,,19342337,,,,,,,,,2381206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55613665,26358339,22731678,2833335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3703215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31251104,,,2172234,1161791,1144423,,,,,
CNL-12,Solyc12g009460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,8533,,,,,,,,,,,2097327,27930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57257847,,57202597,,3683058,,,57165428,,,,,,,,,,,,,,,,,,63899460,,63077148,,,,,,,,,63885663,,,,,63890681,,,,4706126,,,,,,,,,,,,,,885016,,,,,4613966,4689302,,49622219,,63944597,,63942143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2128909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNL-12,Solyc02g027080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,485809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5485027,6083437,,,,,,,,16851697,,,,,,,,15463184,23113841,22620008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27096202,18440479,3063304,3030478,480750,9347391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15231698,,,,,3909995,,,20871129,,,,3051927,,,,,,,,,,,,,,,,,,,,,,,
CNL-12,Solyc12g009450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8533,,0,,,,,,,,,,,2088794,19397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57266380,,57211130,,3691591,,,57173961,,,,,,,,,,,,,,,,,,63907993,,63085681,,,,,,,,,63894196,,,,,63899214,,,,4714659,,,,,,,,,,,,,,893549,,,,,4622499,4697835,,49630752,,63953130,,63950676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNL-13,Solyc04g011990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3182803,,,,,,,0,3599,23599,,,,,,,,,,,,,,,,,,,,,,,,14480942,16461003,,1687268,1629321,1700873,1301323,1313796,1606836,1629307,1695952,1705707,1622901,,,,,,,,,,,,,,,,,,3987692,,,,,,,,3980688,,,,,,,,,,7975309,7969544,,,,,,,,3541795,2489475,2493470,2503285,2531672,2531669,2547710,2481471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59671050,50539742,45727413,6409,1709945,1711851,,,,,,,,,,,,,,,,,,,,,,,,,3552066,3569293,3600533,3579054,2513589,1046585,,,,,1064002,,,,,,,,,,,,,,,,,17370250,1584494,,,,,,,,,3307803,,,,,,,,50133357,,,
CNL-13,Solyc04g011980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3179204,,,,,,,3599,0,20000,,,,,,,,,,,,,,,,,,,,,,,,14484541,16464602,,1683669,1625722,1697274,1297724,1310197,1603237,1625708,1692353,1702108,1619302,,,,,,,,,,,,,,,,,,3984093,,,,,,,,3977089,,,,,,,,,,7978908,7973143,,,,,,,,3538196,2485876,2489871,2499686,2528073,2528070,2544111,2477872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59674649,50543341,45731012,10008,1706346,1708252,,,,,,,,,,,,,,,,,,,,,,,,,3548467,3565694,3596934,3575455,2509990,1050184,,,,,1067601,,,,,,,,,,,,,,,,,17373849,1588093,,,,,,,,,3304204,,,,,,,,50136956,,,
CNL-13,Solyc04g011960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3159204,,,,,,,23599,20000,0,,,,,,,,,,,,,,,,,,,,,,,,14504541,16484602,,1663669,1605722,1677274,1277724,1290197,1583237,1605708,1672353,1682108,1599302,,,,,,,,,,,,,,,,,,3964093,,,,,,,,3957089,,,,,,,,,,7998908,7993143,,,,,,,,3518196,2465876,2469871,2479686,2508073,2508070,2524111,2457872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59694649,50563341,45751012,30008,1686346,1688252,,,,,,,,,,,,,,,,,,,,,,,,,3528467,3545694,3576934,3555455,2489990,1070184,,,,,1087601,,,,,,,,,,,,,,,,,17393849,1608093,,,,,,,,,3284204,,,,,,,,50156956,,,
CNL-13,Solyc01g087200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6617562,,,,,,,,,,,,,,,,,376187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775184,,,,,,,,,,,,,,,,,,,,58908817,,10054522,,,,,12200960,,,,,1992064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79239210,66499979,9304616,,9403908,9410989,9426042,9451656,,,,,,,,,,,,8428002
CNL-13,Solyc07g009180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,55945820,,,,,,,,,,,,,43353502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57318504,,,,,,,,,57330076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61745460,,,,,53732524,8518,,,,,,,,,,,,,,,3609094,,,,,,,,,,59326422,59483844,,57111282,57129186,57140391,,,,,,,,,,,,,,,,,,,,,,,,
CNL-13,Solyc06g062440,,,,,,,,,,37181775,37156891,37139524,36806889,36790056,36763584,,,37190476,923717,934258,944781,958594,972869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7484586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232711,1237240,1238233,,,,1143184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNL-16,Solyc02g030290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485809,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4999218,5597628,,,,,,,,16365888,,,,,,,,14977375,22628032,22134199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26610393,17954670,2577495,2544669,5059,9833200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14745889,,,,,3424186,,,20385320,,,,2566118,,,,,,,,,,,,,,,,,,,,,,,
CNL-16,Solyc10g085460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9541325,,,,,,,,,,,,13379371,,,,,,,,,,,,,,,,,,,,,,,,,,,,8483055,,5231129,8367545,8405997,,8434519,,,,,,,,,8513508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742797,238006,6490158,,,8629703,8660450,13141858,,,59788612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62423925,,24246028,,,,,,,,,,62419243,,,,62412601,,,,,,,,,,,,,,,,,,,,59909712,,,,,,,,,,,,,,,,
CNL-16,Solyc10g054350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9541325,0,,,,,,,,,,,,3838046,,,,,,,,,,,,,,,,,,,,,,,,,,,,1058270,,4310196,1173780,1135328,,1106806,,,,,,,,,1027817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10284122,9779331,3051167,,,911622,880875,3600533,,,50247287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52882600,,14704703,,,,,,,,,,52877918,,,,52871276,,,,,,,,,,,,,,,,,,,,50368387,,,,,,,,,,,,,,,,
CNL-16,Solyc05g018010,,37707578,38011579,40572845,41994139,45365126,45372344,36268473,45378829,,,,,,,45652417,16493350,,,,,,,15514303,15510045,15506782,,,,13422198,13428651,19199297,13545309,13551132,17311974,17316558,17325586,17490655,17682187,,13085466,13122247,19342337,,,,,,,,,,,,,0,,,,,,,,,16961131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36271328,7016002,3389341,16509002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15639122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11908767,,,17170103,18180546,18197914,,,,,
CNL-2,Solyc12g006040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097327,,2088794,,,,,,,,,,,0,2069397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59355174,,59299924,,5780385,,,59262755,,,,,,,,,,,,,,,,,,65996787,,65174475,,,,,,,,,65982990,,,,,65988008,,,,6803453,,,,,,,,,,,,,,2982343,,,,,6711293,6786629,,51719546,,66041924,,66039470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNL-2,Solyc12g009417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27930,,19397,,,,,,,,,,,2069397,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57285777,,57230527,,3710988,,,57193358,,,,,,,,,,,,,,,,,,63927390,,63105078,,,,,,,,,63913593,,,,,63918611,,,,4734056,,,,,,,,,,,,,,912946,,,,,4641896,4717232,,49650149,,63972527,,63970073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNL-3,Solyc11g020100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8975084,8970269,,8919416,8914464,,2258,,,,,,,,,,,,,,,,,,,,,,,,,45038159,44399967,,44666767,,,,,,,,,,,,,,,,,,,8128306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40045684,,23704352,41522941,43245583,44409362,44664520,44715227,45019609,3052600,45434414,45693098,,,,,41521061,,,,,,,,23759293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43718134,,,,,,,,,,,,,,,,,,,,,,,,,5994682,5766470,,,,39147865,,,5985890,
CNL-3,Solyc11g006520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8975084,0,4815,,55668,60620,,8972826,,,,,,,,,,,,,,,,,,,,,,,,,54013243,53375051,,53641851,,,,,,,,,,,,,,,,,,,846778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49020768,,32679436,50498025,52220667,53384446,53639604,53690311,53994693,5922484,54409498,54668182,,,,,50496145,,,,,,,,32734377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52693218,,,,,,,,,,,,,,,,,,,,,,,,,2980402,3208614,,,,48122949,,,2989194,
CNL-3,Solyc11g006530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8970269,4815,0,,50853,55805,,8968011,,,,,,,,,,,,,,,,,,,,,,,,,54008428,53370236,,53637036,,,,,,,,,,,,,,,,,,,841963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49015953,,32674621,50493210,52215852,53379631,53634789,53685496,53989878,5917669,54404683,54663367,,,,,50491330,,,,,,,,32729562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52688403,,,,,,,,,,,,,,,,,,,,,,,,,2975587,3203799,,,,48118134,,,2984379,
